Title,Type,Standard Classification,Bureaus,Bus Capability,Bus Priority,Description (Derived HTML),App Support Model,Cloud Service type,App hosting environment,Related App,Business Owner,Product Owner,Support Owner,Public,Displayed In
Cognos Impromptu,Application,City Standard,Citywide,"Information Sharing, Data Analytics",,"<p>Impromptu is a database reporting tool used to create queries, run them against your relational database, and format the results.</p><h2>Publisher</h2><p>IBM</p><h2>Additional information</h2><ul><li>This tool is part of the Cognos Analytics application suite and cannot be used as an independent application</li><li>Impromptu includes several modules: Configuration Manager, Access Manager Batch Maintenance, Access Manager Registratino Wizard, Scheduler, Cognos ScriptEditor, Audit Configuration and Audit File Processor, PowerPrompts Developer Studio, and User Defined Function SDK.</li></ul>",Full Support,,On Premise,Cognos Analytics,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Cognos Life Cycle Manager (LCM),Application,City Standard,Citywide,"Information Sharing, Data Analytics",,<p>Cognos Life Cycle Manager is an application that validates Cognos BI report content during an upgrade by comparing reports that run in different versions of BI.</p><h2>Publisher</h2><p>IBM</p>,Full Support,,On Premise,Cognos Analytics,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Cognos TM1,Application,City Standard,Citywide,"Information Sharing, Data Analytics",,"<p>Cognos TM1 uses reusable and customizable components that collectively make an automation package to optimze performance through advanced planning, analytics, and modeling, of complex multidimensional data with real-time analysis.</p><h2>Publisher</h2><p>IBM</p>",Full Support,,On Premise,"Cayenta, Cognos Analytics, Cognos Cube Designer",,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Coin Collection List,Application,Bureau Standard,PBOT,"Ground Transportation, Parking",,<p>Coin Collection List exports a list of smart meters and balances from Cale Web Office to create lists of meters that need collection.</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
ColdFusion,Application,Legacy Standard,BTS,"Information Sharing, General Purpose Data and Statistics",,<p>ColdFusion is a development platform that uses CFML to quickly build modern web apps.</p><h2>Publisher</h2><p>Adobe</p><h2>Additional information</h2><ul><li>ColdFusion is being replaced by Drupal</li></ul>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Command Center,Application,Bureau Standard,BTS,"Support Delivery of Services, Provide and Maintain IT Infrastructure",,"<p>Command Center is an application for managing a multi-platform data environment, including backups, restores, monitoring, and analytics.</p><h2>Publisher</h2><p>Commvault</p><h2>Software Tiers</h2><ul><li>AIX</li><li>Red Hat Linux</li><li>Windows</li></ul>",Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Composer,Application,Bureau Standard,BTS,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Composer is a dependency management tool for PHP, used to facilitate the distribution and maintenance of PHP packages as individual application components.</p><h2>Publisher</h2><p>getcomposer.org</p><h2>Additional information</h2><ul><li>Composer is an open source project created and supported by Nils Adermann and Jordi Boggiano</li></ul>",Full Support,,On Premise,,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Contracts Tracking,Application,Bureau Standard,PBOT,"Program and Project Management, Project Management",Medium,<p>Contracts Tracking is a read-only application that contains PBOT road design and construction projects from the mid 1990s through 2009.</p><h2>Publisher</h2><p>City of Portland</p><h2>Additional information</h2><ul><li>workfront is used to document these projects since 2009.</li></ul>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
workfront (aka AtTask),Application,Bureau Standard,PBOT,"Program and Project Management, Project Management",Medium,<p>AtTask is a project management application that combines social media features to enhance project team productivity.</p><h2>Publisher</h2><p>NDM Technologies</p><h2>Additional information</h2>PBOT is using this software to track road design and construction projects since 2009. Contracts Tracking was used prior to 2009 to track these same activities.</li></ul>,Bureau / Vendor Support,SaaS,Cloud,,,,,Yes,Technology Services
ControlPoint,Application,Legacy Standard,Citywide,"Asset Management, Buildings",High,<p>ControlPoint is part of a digital sentry solution that provides HD video surveillance and playback.</p><h2>Publisher</h2><p>Pelco</p>,Full Support,,On Premise,,,James.Apple@portlandoregon.gov,James.Apple@portlandoregon.gov,Yes,Technology Services
Convo,Application,Allowed,Citywide,"Assistive Technology Services, Hearing Support",Medium,"<p>Convo is a video relay service (VRS) that provides sign language interpretation in support of hearing impared indivuduals</p><h2>Publisher</h2><p>Convo Communications</p><h2>ADA</h2><p>Yes</p><h2>Additional information</h2><ul><li>Video Relay Service (VRS) allows deaf people who use sign language to communicate with voice telephone users through video apps and a high-speed Internet connection. A video sign language interpreter relays the conversation at no cost to the callers. Convo is compensated by the Telecommunications Relay Service Fund, which the Federal Communications Commission (FCC) oversees.</li></ul>",Limited Support,,Hybrid,,,,,Yes,Technology Services
Core Impact,Application,Bureau Standard,BTS,"Cyber Security Management, Threat and Vulnerability Management",High,<p>Core Impact enables security teams to safely conduct advanced penetration tests with guided automation and certified exploits.</p><h2>Publisher</h2><p>Core Security</p>,Full Support,,On Premise,,,Christopher.Paidhrin@portlandoregon.gov,Christopher.Paidhrin@portlandoregon.gov,No,BTS Application and Services Documentation
Crash,Application,Bureau Standard,PBOT,"Geospatial Analytics, Mapping / Geospatial, Ground Transportation, Surface Transportation",,"<p>Crash enables the capability to query, view, export and report crash data from within the ArcMap framework. Query filters may include a selection of intersections from the map in their query filter, and to display the location of crashes. It also allows users to export map layers of crash data to ESRI Personal Geodatabases.</p><h2>Publisher</h2><p>City of Portland</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
DarkTrace,Application,City Standard,Citywide,"Cyber Security Management, Threat and Vulnerability Management, Continuous Monitoring",High,"<p>DarkTrace is a cyber security platform that uses artificial intelligence to enble a deep interconnected understanding of the enterprise network with methodologies to monitor and protect it from cyber incidents.</p><h2>Publisher</h2><p>DarkTrace</p><h2>Additional information</h2><ul><li>Prevent - Priorities threats, hardens defenses, reduces risks. At the attack surface.</li><li>Detect - Instant visibility. Every attack, including emerging threats that are not yet documented.</li><li>Respond - Autonomous, always-on action to contain and disarm attacks within seconds.</li><li>Heal - Recover in the event of a cyber-attack and return systems to a trusted operational state.</li></ul>",Full Support,,On Premise,,,Christopher.Paidhrin@portlandoregon.gov,Christopher.Paidhrin@portlandoregon.gov,No,BTS Application and Services Documentation
Ditto,Application,Allowed,Citywide,"Support Delivery of Services, Content Management",,<p>Ditto is an extension to the standard windows clipboard that saves each item (text and images) for later reference and pasting.</p><h2>Annual cost</h2><p>Free</p><h2>Publisher</h2><p>Scott Brogden</p><h2>Additional information</h2>This is an open source application available on SorceForge.</li></ul>,User Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
DMT Lite,Application,Bureau Standard,PBOT,"Geospatial Analytics, Mapping / Geospatial",,"<p>DMT Lite is a generic feature class viewer/editor designed as an add-in for ArcMap. It is currently used primarily for feature classes in the ROWmgmt database of PBOT's enterprise geodatabase (Encroachments, Development Review, etc). It also can be used as an asset viewer for those persons without a Maximo login who aren't able to use the Asset Manager.</p>",,,On Premise,ArcGis Desktop,,,,Yes,Technology Services
Docker,Application,City Standard,Citywide,"Support Delivery of Services, Provide and Maintain IT Infrastructure",,<p>Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers.</p><h2>Publisher</h2><p>Docker</p>,Full Support,,On Premise,,,Rick.Nixon@portlandoregon.gov,Rick.Nixon@portlandoregon.gov,Yes,Technology Services
Dragon NaturallySpeaking,Application,City Standard,Citywide,"Assistive Technology Services, Hearing Support",,<p>Dragon NaturallySpeaking is a speech recognition application that converts spoken language to text.</p><h2>Publisher</h2><p>Nuance Communications</p><h2>ADA</h2><p>Yes</p>,Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
DropBox,Application,City Standard - Restricted,Citywide,"Information Sharing, Collaboration Tools",Low,"<p>Dropbox is a cloud storage service that lets you save files, sync them to several devices, and share them with other people, without creating multiple copies.</p><h2>Publisher</h2><p>DropBox</p><h2>Software Tiers</h2><ul><li>Free - No cost for a single user with 2 TB of storage and no other features</li><li>Plus - $10/month includeds 1 user and 2 TB of storage</li><li>Family - $17/month includes 6 users and 2 TB of storage</li><li>Professional - $16.60/month includes 1 user and 3 TB of storage</li><li>Standard - $15/month per user (minimum of 3 users) includes 5 TB of storage</li><li>Advanced - $24/month per user (minimum of 3 users) includes unlimited space</li><li>Enterprise - Customized plan based on business need</li></ul><h2>Additional information</h2><ul><li>Dropbox is a PBEM Bureau standard that can be utilized as needed within that bureau. All other usage requires a technology exception to be approved prior to subscribing.</li></ul>",Bureau / Vendor Support,SaaS,Cloud,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
GrayLog,Application,Bureau Standard,BTS,"Cyber Security Management, Threat and Vulnerability Management",,"<p>Purpose-built for modern log analytics, syslog servers allow you to collect logs from all types of devices and applications.</p><h2>Publisher</h2><p>Graylog</p>",Bureau / Vendor Support,,,,,matt.rounds@portlandoregon.gov,matt.rounds@portlandoregon.gov,No,Technology Services
GreatHorn Email Security,Application,City Standard,citywide,"Cyber Security Management, Threat and Vulnerability Management",,"<p>What does GreatHorn do? GreatHorn Email Security Platform is an API, cloud-native solution that eliminates the real-time risk of phishing across Microsoft 365.</p><h2>Publisher</h2><p>GreatHorn</p>",Full Support,SaaS,Hybrid,,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,No,Technology Services
Juniper JSA,Application,Legacy Standard,BTS,"Cyber Security Management, Threat and Vulnerability Management",,"<p>Virtual Appliance security information and event management (SIEM) optimized for virtualized IT and cloud environments. It consolidates security events collected from devices, endpoints, and applications distributed throughout the network.</p><h2>Publisher</h2><p>Juniper Networks</p>",Full Support,,On Premise,,,Christopher.Paidhrin@portlandoregon.gov,,No,Technology Services
Nessus,Application,Bureau Standard,BTS,"Cyber Security Management, Audit Trail Capture and Analysis",,<p>Nessus is an open-source network vulnerability scanner that uses the Common Vulnerabilities and Exposures architecture for easy cross-linking between compliant security tools.</p>,Full Support,,On Premise,Tenable.sc,,christopher.paidhrin@portlandoregon.gov,christopher.paidhrin@portlandoregon.gov,no,Technology Services
Nessus Manager,Application,Bureau Standard,BTS,"Cyber Security Management, Audit Trail Capture and Analysis",,<p>Nessus is an open-source network vulnerability scanner that uses the Common Vulnerabilities and Exposures architecture for easy cross-linking between compliant security tools.</p>,Full Support,,On Premise,Tenable.sc,,christopher.paidhrin@portlandoregon.gov,christopher.paidhrin@portlandoregon.gov,no,Technology Services
Quickhelp,Application,City Standard,Citywide,"Personnel Management, Employee Development and Training",,"<p>QuickHelp is a Microsoft-Azure-based e-learning solution that teaches your employees how to use various Office 365 apps and features, from anywhere and anytime. </p><h2>Publisher</h2><p>BrainStorm</p>",Bureau / Vendor Support,,Cloud,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,yes,Technology Services
R,Application,Allowed,Citywide,"Information Sharing, Data Analytics",,<p>R is a programming language for statistical computing and graphics.</p><h2>Publisher</h2><p>R Development Core Team</p>,Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
R for Windows,Application,Allowed,Citywide,"Information Sharing, Data Analytics",,<p>Microsoft R Open is the enhanced distribution of R from Microsoft Corporation. It is a complete open source platform for statistical analysis and data science.</p><h2>Publisher</h2><p>Microsoft</p>,Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Rstudio,Application,Bureau Standard,Citywide,"Information Sharing, Data Analytics",,"<p>RStudio is an integrated development environment for R, a programming language for statistical computing and graphics.</p><h2>Publisher</h2><p>RStudio</p>",Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
RapidPlans,Application,Bureau Standard,PBOT,"Executive Management, Strategic Planning",,<p>Traffic Plan Control Software</p>,Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
RazorSQL,Application,City Standard,CityWide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>RazorSQL is a software application that provides both easy to use visual tools and advanced features to allow users to do database browsing, editing, management, administration, and programming.</p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,Yes,Technology Services
Reader DC,Application,City Standard,Citywide,"Support Delivery of Services, Document Management and Workflow",,"<p>This free PDF reader app lets you view, comment, fill out, and sign PDF forms.</p><h2>Publisher</h2><p>Adobe Systems</p>",Full Support,,On Premise,,,Bryan.Pirrello@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Real Producer,Application,Legacy Standard,Citywide,"Support Delivery of Services, Web Infrastructure",,<p>Web Tools - Video Encoding</p>,Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,Yes,Technology Services
Redgate SQL Monitor,Application,Bureau Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,<p>Database Development Tools - SQL Server Utilities</p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Redgate SQL Compare Utilities,Application,Bureau Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,<p>Database Development Tools - SQL Server Utilities</p>,Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,Yes,Technology Services
Reflection,Application,Allowed,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,<p>Terminal Emulator</p><h2>Publisher</h2><p>Micro Focus</p>,User Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Reflector3,Application,Bureau Standard,PBEM,"Communications, Audio and Video Conferencing",,<p>Screen sharing / mobile device miradasting software</p><h2>Publisher</h2><p>Squirrels</p>,Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
Resharper,Application,City Standard,citywide,"Support Delivery of Services, Provide and Maintain IT Infrastructure",,"<p>ReSharper provides static code analysis (also known as code inspection) by applying over 2500 code inspections in C#, VB.NET, XAML, XML, ASP.NET, ASP.NET MVC, Razor, JavaScript, TypeScript, HTML, CSS, ResX, and build script code, detecting compiler and runtime errors, suggesting corrections and improvements.</p>",,,,,,,,Yes,Technology Services
Right-of-way,Application,Bureau Standard,PBOT,"Other Government, Permits and Licensing",,"<p>Tracks requests for leases, development-related dedication, and street vacations for the Right-of-way Acquisitions (RWA) group of PBOT.</p>",Bureau / Vendor Support,,On Premise,,,,,YES,Technology Services
AppResponse,Application,City Standard,citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>AppResponse delivers all-in-one packet capture, application analysis, transactional details, and flow export.</p><h2>Publisher</h2><p>Riverbed Technology, Inc.</p>",Full Support,,On Premise,Riverbed Steel Central,,Carolyn.Glass@portlandoregon.gov," matt.rounds@portlandoregon.gov",Yes,Technology Services
Riverbed Flow Gateway,Application,City Standard,citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Collects and forwards flow data (NetFlow, sFlow, J-Flow, IPFIX and other popular flow statistics) from network devices and SteelFlow Net</p><h2>Publisher</h2><p>Riverbed Technology, Inc.</p>",Full Support,,On Premise,Riverbed Steel Central,,Carolyn.Glass@portlandoregon.gov," matt.rounds@portlandoregon.gov",Yes,Technology Services
Riverbed Net Profiler,Application,City Standard,citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Provides network flow analytics that you can use to quickly diagnose network issues and identify security threats before end users ever know there's a problem</p><h2>Publisher</h2><p>Riverbed Technology, Inc.</p>",Full Support,,On Premise,Riverbed Steel Central,,Carolyn.Glass@portlandoregon.gov," matt.rounds@portlandoregon.gov",Yes,Technology Services
Riverbed Packet Analyzer,Application,City Standard,citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Is a piece of hardware or software used to monitor network traffic. </p><h2>Publisher</h2><p>Riverbed Technology, Inc.</p>",Full Support,,On Premise,Riverbed Steel Central,,Carolyn.Glass@portlandoregon.gov," matt.rounds@portlandoregon.gov",Yes,Technology Services
System Center Configuration Manager (SCCM),Application,Bureau Standard,PPB,"Support Delivery of Services, System and Network Monitoring",,"<p> Windows product that enables the management, deployment and security of devices and applications across an enterprise.</p>",Bureau / Vendor Support,,On Premise,,,cloy.e.swartzendruber@police.portlandoregon.gov,cloy.e.swartzendruber@police.portlandoregon.gov,yes,Technology Services
ScrewTurn Wiki,Application,City Standard,Citywide,"Support Delivery of Services, Process Tracking",,"<p>A open source wiki application that is based on Microsoft ASP.NET 3.5 and allows you to create, manage and share wikis.</p>",full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,yes,Technology Services
SDRuno,Application,Bureau Standard,"BTS, PBEM","Communications, Voice Communication",,<p>SDRuno is an advanced Software Defined Radio application platform which is optimized for use with the SDRplay range of Radio Spectrum Processing receivers</p>,,,,,,,,yes,Technology Services
Server Studio (Informix Management),Application,City Standard,citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Software application to help organizations ensure that mission-critical database applications remain up and perform at peak levels, manage complexity.</p><h2>Publisher</h2><p>AGS</p>",Full Support,,,,,,,yes,Technology Services
Service Request,Application,Bureau Standard,PBOT,"Support Delivery of Services, Help Desk Services",,<p>Viewer to access historic Traffic Operations service request records from around 2000 through the implementation of the service request instance of TrackIT.  This is read only access to historic data.</p><h2>Publisher</h2><p>City of Portland</p>,,,,,,,,yes,Technology Services
SFTP,Application,City Standard,Citywide,"Information Sharing, Data Exchange",,"<p>SFTP, or Secure File Transfer Protocol, is a secure file transfer protocol that uses secure shell encryption to provide a high level of security for sending and receiving file transfers.</p>",Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,Yes,Technology Services
Sharpe,Application,Bureau Standard,"BES, PBOT","Program and Project Management, Portfolio Management",,<p>construction project estimation software</p><h2>Publisher</h2><p>SharpeSoft</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Sidewalk Posting,Application,Bureau Standard,PBOT,"Support Delivery of Services, Customer Service",,<p>Issues and tracks repair notices to property owners of sidewalk deficiencies.</p><h2>Publisher</h2><p>City Of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
SignLib,Application,Bureau Standard,PBOT,"Asset Management, Digital Assets",,<p>SignLib is used to display information about the different types of signs created and maintained by PBOT.  There is a view-only application used by a larger group of users and a read-only application used by the sign graphic designer.</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Simplifile,Application,Exception Request Required,"BDS, PHB","Information Sharing, Information Exchange and Transformation",,"<p>Simplifile electronically connects people, technologies, and data in the real estate transaction</p><h2>Publisher</h2><p>SimpliFile</p>",Bureau / Vendor Support,SaaS,Cloud,,,,,yes,Technology Services
SimplyFile,Application,Bureau Standard,Citywide,"Property and Records Management, Management of Government Records",,<p>SimplyFile is an intelligent filing assistant for Microsoft Outlook. It helps you file email messages in your Outlook folders quickly and efficiently</p><h2>Publisher</h2><p>TechHit</p>,Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,yes,Technology Services
SiteScope,Application,Legacy Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>SiteScope is agentless monitoring software focused on monitoring the availability and performance of distributed IT infrastructures, including Servers, Network devices and services, Applications and application components, operating systems and various IT enterprise components.</p><h2>Publisher</h2><p>Micro Focus</p>",Bureau / Vendor Support,,On Premise,,,rick.schulte@portlandoregon.gov,diego.portillo@portlandoregon.gov,Yes,Technology Services
SketchUp,Application,Allowed,Citywide,"Support Delivery of Services, Document Management and Workflow",,"<p>ketchUp Pro Desktop, a 3D modeling computer program for a broad range of drawing and design applications</p><h2>Software Tiers</h2><ul><li>Sketchup Pro</li><li>Sketchup Viewer</li></ul>",User Support,SaaS,Hybrid,,,,,Yes,Technology Services
Slack,Application,Allowed,CityWide,"Information Sharing, Collaboration Tools",,"<p>Slack is a messaging app for business that connects people to the information they need. Slack is multi-platform availabe via web, desktop client and mobile app. </p><h2>Publisher</h2><p>Salesforce</p>",Bureau / Vendor Support,SaaS,Hybrid,,,,,Yes,Technology Services
SmartPark Access Cards,Application,Bureau Standard,PBOT,"Ground Transportation, Parking",,<p>Manages the smart card access for the parking garages.</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Smead Viewables,Application,Bureau Standard,PBEM,"Program and Project Management, Program Management",,<p>olor Labeling System is the easiest way to create professional labels for all your hanging folders and file folders.</p><h2>Publisher</h2><p>Smead</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
SnagIT,Application,Allowed,Citywide,"Knowledge Management, Knowledge Capture",,<p>Screen capture and screen recording software for Windows and macOS.</p><h2>Publisher</h2><p>TechSmith</p>,Limited Support,,On Premise,,,,,Yes,Technology Services
Snow Inventory,Application,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Snow Inventory is a collective name for several different products, all of which serve the same purpose: capturing and transferring inventory data. This data is normalized and later processed and refined for use in Snow products such as Snow License Manager.</p><h2>Publisher</h2><p>Snow</p>",Full Support,,On Premise,Snow,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,Yes,Technology Services
Snow License Manager,Application,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Snow License Manager is the central hub for the Snow Software Asset Management platform, providing a unified view of installed software, SaaS, cloud resources and hardware. With Snow License Manager, usage data is automatically translated into commercial software product information using Snow Data Intelligence Service. Regardless of the source of inventory data, license entitlements or organizational data, Snow License Manager turns raw data into clean, consistent, actionable intelligence that can be used by a variety of stakeholders to make informed decisions.</p><h2>Publisher</h2><p>Snow</p>",Full Support,,On Premise,Snow,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,Yes,Technology Services
SOAPUI,Application,Bureau Standard,"BTS, BDS, PBOT, BRFS","Support Delivery of Services, Provide and Maintain IT Infrastructure",,"<p>esting tools make it easy to create, manage, and execute end-to-end tests on REST, SOAP, & GraphQL APIs, JMS, JDBC, and other web services</p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,Yes,Technology Services
SonicWall,Application,City Standard,citywide,"Cyber Security Management, Continuous Monitoring",,"<p>SonicWall provides Email Security protection from spam, phishing attacks and malware.</p>",,,,,,,,Yes,Technology Services
Sophos,Application,City Standard,citywide,"Cyber Security Management, Threat and Vulnerability Management",,<p>Identify & Prevent Attacks Originating from Infected Websites.</p>,Full Support,,On Premise,,,matt.rounds@portlandoregon.gov,matt.rounds@portlandoregon.gov,yes,Technology Services
Oracle SQL Developer,Application,City Standard,Citywide,"Information Sharing, Data Warehouse",,<p>Oracle SQL Developer is an Integrated development environment for working with SQL in Oracle databases</p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,yes,Technology Services
StellarRAD,Application,City Standard,CityWide,"Asset Management, Equipment",,<p>manage city cellular equipment</p>,Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,Yes,Technology Services
StreetInfo,Application,Bureau Standard,PBOT,"Geospatial Analytics, Mapping / Geospatial",,"<p>StreetInfo is an ArcMap add-in application that displays information from the Street Centerline, Pavement, and Taxlot GIS layers to the user, when the user clicks on the map with the mouse cursor. If the user right clicks on the ""balloon callout"" that displays the data, a form appears that allows the user to copy the data onto the Windows clipboard.</p><h2>Publisher</h2><p>City of Portland</p>",Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
Streetlight Data Access System (SDAS),Application,Bureau Standard,PBOT,"Geospatial Analytics, Mapping / Geospatial",,<p>SDAS is an ArcMap 10.2 add-in used for street light outage and problem reporting.</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
StreetSaver,Application,Bureau Standard,PBOT,"Ground Transportation, Ground Transportation",,<p>StreetSaver is a remotely hosted Pavement Management System used by PBOT.  It is accessed at https://www.streetsaveronline.com/default.aspx</p>,Bureau / Vendor Support,SaaS,Cloud,,,,,Yes,Technology Services
Sublime Text,Application,City Standard,"BES,BTS,PBOT","Geospatial Analytics, Mapping / Geospatial",,"<p>sophisticated text editor for code, markup and prose</p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,diego.portillo@portlandoregon.gov,yes,Technology Services
Subversion / VisualSVN,Application,City Standard,citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>VisualSVN is an Apache Subversion client, implemented as a low-level VS package extension for Microsoft Visual Studio, that provides an interface to perform the most common revision control operations.</p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,,yes,Technology Services
Sunday Parkways,Application,Bureau Standard,PBOT,"Relationship Management, Partner",,"<p>The Sunday Parkways application is split into two programs, a management application and an import application. The management application allows management of event and event related data. The import application allows data from the Axiom (volunteer management) website to be imported into the parkways database.</p><h2>Publisher</h2><p>City of Portland</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
SVRS,Application,Allowed,citywide,"Assistive Technology Services, Hearing Support",,<p>Miscellaneous Tools - Video Relay Service</p>,Limited Support,SaaS,Cloud,,,robert.gaskill-clemons@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,yes,Technology Services
Swift,Application,City Standard,citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Swift is a programming language for iOS, iPadOS, macOS, tvOS, and watchOS. </p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,yes,Technology Services
Synchro,Application,Bureau Standard,PBOT,"Ground Transportation, Ground Transportation",,"<p>Synchro is a macroscopic analysis and optimization software application. Synchro supports the Highway Capacity Manual’s methodology (2000 & 2010 methods) for signalized intersections and roundabouts. Synchro also implements the Intersection Capacity Utilization method for determining intersection capacity. Synchro’s signal optimization routine allows user to weight specific phases, thus providing users more options when developing signal timing plans.</p><h2>Publisher</h2><p>Cubic Transportation Systems</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Synchro SimTraffic,Application,Bureau Standard,PBOT,"Ground Transportation, Ground Transportation",,"<p>SimTraffic is a traffic simulation software application. SimTraffic performs micro-simulation and animation of vehicular and pedestrian-related traffic. With SimTraffic, individual vehicles are modeled and displayed traversing a street network. SimTraffic models signalized and unsignalized intersections, as well as freeway sections with cars, trucks, pedestrians, and buses. </p><h2>Publisher</h2><p>Cubic Transportation Systems</p>",Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
Table Joiner,Application,Bureau Standard,"PBEM, PBOT","Geospatial Analytics, Mapping / Geospatial",,"<p>The Table Joiner for ArcMap 10.2 is a custom tool ArcMap tool that allows filds from multiple feature classes and tables on a single database server to be joined together and displayed in ArcMap or exported to Excel. The tables may be a feature class, an object class or a simple table. They may exist in different databases, but they must be on the same server. The type of tables, and the order in which the they are joined will determine whether a feature exists or the joined product. Table 1 determines this. If Table 1is a feature class, the product will have a feature. If not, the product will only appear as a table in ArcMap. </p><h2>Publisher</h2><p>City of Portland</p>",Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
